AIM2	absent in melanoma 2
BAK1	BCL2 antagonist/killer 1
BAX	BCL2 associated X, apoptosis regulator
CASP1	caspase 1
CASP3	caspase 3
CASP4	caspase 4
CASP5	caspase 5
CASP6	caspase 6
CASP8	caspase 8
CASP9	caspase 9
CHMP2A	charged multivesicular body protein 2A
CHMP2B	charged multivesicular body protein 2B
CHMP3	charged multivesicular body protein 3
CHMP4A	charged multivesicular body protein 4A
CHMP4B	charged multivesicular body protein 4B
CHMP4C	charged multivesicular body protein 4C
CHMP6	charged multivesicular body protein 6
CHMP7	charged multivesicular body protein 7
CYCS	cytochrome c, somatic
ELANE	elastase, neutrophil expressed
GPX4	glutathione peroxidase 4
GSDMA	gasdermin A
GSDMB	gasdermin B
GSDMC	gasdermin C
GSDMD	gasdermin D
GSDME	gasdermin E
GZMB	granzyme B
HMGB1	high mobility group box 1
IL18	interleukin 18
IL1A	interleukin 1 alpha
IL1B	interleukin 1 beta
IL6	interleukin 6
IRF1	interferon regulatory factor 1
IRF2	interferon regulatory factor 2
NLRC4	NLR family CARD domain containing 4
NLRP1	NLR family pyrin domain containing 1
NLRP1	uncharacterized LOC124900388
NLRP2	NLR family pyrin domain containing 2
NLRP3	NLR family pyrin domain containing 3
NLRP6	NLR family pyrin domain containing 6
NLRP7	NLR family pyrin domain containing 7
NOD1	nucleotide binding oligomerization domain containing 1
NOD2	nucleotide binding oligomerization domain containing 2
PJVK	pejvakin
PLCG1	phospholipase C gamma 1
PRKACA	protein kinase cAMP-activated catalytic subunit alpha
PYCARD	PYD and CARD domain containing 
SCAF11	SR-related CTD associated factor 11
TIRAP	TIR domain containing adaptor protein
TNF	tumor necrosis factor
TP53	tumor protein p53
TP63	tumor protein p63
